Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
3337803,559,347.0,5,UPDATE
3337816,579,357.0,25,UPDATE
3337868,1149,714.0,11,UPDATE
3337973,679,424.0,38,UPDATE
3337991,799,496.0,4,UPDATE
3338003,869,542.0,1,UPDATE
3338076,939,586.0,6,UPDATE
3338156,859,532.0,5,UPDATE
3338169,869,541.0,25,UPDATE
3338276,879,547.0,1,UPDATE
3338292,1299,809.0,1,UPDATE
3338304,1449,902.0,0,UPDATE
3338353,949,593.0,6,UPDATE
3338377,1589,992.0,2,UPDATE
3338405,859,537.0,5,UPDATE
3338418,879,547.0,25,UPDATE
3338470,1449,901.0,11,UPDATE
3338582,2719,1696.0,38,UPDATE
3338614,4019,2511.0,4,UPDATE
3338621,3959,2473.0,4,UPDATE
3338623,4329,2704.0,18,UPDATE
3338633,4729,2955.0,1,UPDATE
3338692,3729,2327.0,27,UPDATE
3338777,4359,2724.0,11,UPDATE
3338806,2829,1768.0,24,UPDATE
3338813,2719,1699.0,38,UPDATE
3338845,4009,2506.0,4,UPDATE
3338852,4039,2519.0,4,UPDATE
3338864,4749,2965.0,1,UPDATE
3338923,3739,2336.0,27,UPDATE
3339085,2729,1704.0,17,UPDATE
3339086,2889,1805.0,5,UPDATE
3339152,2839,1774.0,5,UPDATE
3339189,4489,2806.0,5,UPDATE
3339195,4869,3041.0,25,UPDATE
3339218,2859,1787.0,5,UPDATE
3339277,3099,1933.0,1,UPDATE
3339314,4699,2932.0,1,UPDATE
3339321,4369,2730.0,1,UPDATE
3339392,4349,2713.0,12,UPDATE
3339515,3279,2049.0,1,UPDATE
3339545,4599,2873.0,1,UPDATE
3339552,4519,2823.0,1,UPDATE
3339564,5499,3434.0,0,UPDATE
3339623,4439,2773.0,12,UPDATE
3339728,2839,1774.0,37,UPDATE
3339737,2929,1829.0,6,UPDATE
3339739,3099,1935.0,6,UPDATE
3339746,2919,1822.0,36,UPDATE
3339801,2959,1845.0,5,UPDATE
3339803,2889,1801.0,6,UPDATE
3339807,2999,1871.0,5,UPDATE
3339812,2909,1813.0,19,UPDATE
3339813,3189,1990.0,25,UPDATE
3339825,3649,2281.0,25,UPDATE
3339855,5559,3475.0,11,UPDATE
3339878,2949,1839.0,5,UPDATE
3339942,2949,1841.0,38,UPDATE
3339960,4269,2666.0,4,UPDATE
3339967,4199,2622.0,4,UPDATE
3339969,4579,2857.0,18,UPDATE
3339979,4979,3111.0,1,UPDATE
3340024,3959,2470.0,27,UPDATE
3340095,4609,2877.0,11,UPDATE
3340124,3079,1921.0,24,UPDATE
3340131,2959,1844.0,38,UPDATE
3340149,4259,2661.0,4,UPDATE
3340156,4279,2671.0,4,UPDATE
3340168,4999,3121.0,1,UPDATE
3340213,3969,2478.0,27,UPDATE
3340321,2959,1849.0,17,UPDATE
3340322,3119,1950.0,5,UPDATE
3340351,4669,2915.0,4,UPDATE
3340376,3079,1919.0,5,UPDATE
3340401,4729,2956.0,5,UPDATE
3340405,4569,2853.0,4,UPDATE
3340407,5099,3183.0,25,UPDATE
3340430,3099,1932.0,5,UPDATE
3340459,4609,2880.0,4,UPDATE
3340477,3339,2082.0,1,UPDATE
3340500,4909,3068.0,1,UPDATE
3340507,4579,2860.0,1,UPDATE
3340519,6019,3759.0,0,UPDATE
3340673,3529,2204.0,1,UPDATE
3340689,4819,3007.0,1,UPDATE
3340696,4729,2956.0,1,UPDATE
3340708,5709,3564.0,0,UPDATE
3340844,3129,1952.0,21,UPDATE
3340855,3389,2117.0,6,UPDATE
3340862,3189,1988.0,5,UPDATE
3340891,5399,3373.0,2,UPDATE
3340905,3199,1994.0,5,UPDATE
3340911,3239,2019.0,5,UPDATE
3340916,3169,1979.0,5,UPDATE
3340917,3419,2136.0,15,UPDATE
3340947,5759,3594.0,11,UPDATE
3340970,3209,2005.0,5,UPDATE
3341040,4239,2650.0,4,UPDATE
3341047,4179,2608.0,4,UPDATE
3341049,4549,2841.0,18,UPDATE
3341059,4959,3094.0,1,UPDATE
3341104,3929,2454.0,27,UPDATE
3341175,4579,2861.0,11,UPDATE
3341229,4239,2646.0,4,UPDATE
3341236,4249,2656.0,4,UPDATE
3341248,4969,3105.0,1,UPDATE
3341293,3939,2462.0,27,UPDATE
3341401,2939,1833.0,17,UPDATE
3341402,3099,1935.0,5,UPDATE
3341431,4639,2900.0,4,UPDATE
3341456,3049,1903.0,5,UPDATE
3341481,4709,2939.0,5,UPDATE
3341485,4549,2838.0,4,UPDATE
3341487,5069,3167.0,25,UPDATE
3341510,3069,1916.0,5,UPDATE
3341539,4589,2865.0,4,UPDATE
3341557,3299,2058.0,1,UPDATE
3341580,4869,3043.0,1,UPDATE
3341587,4539,2836.0,1,UPDATE
3341599,5979,3732.0,0,UPDATE
3341753,3489,2179.0,1,UPDATE
3341769,4779,2982.0,1,UPDATE
3341776,4779,2983.0,1,UPDATE
3341788,5769,3605.0,0,UPDATE
3341924,3089,1929.0,37,UPDATE
3341942,3149,1968.0,36,UPDATE
3341971,5359,3348.0,2,UPDATE
3341985,3159,1969.0,5,UPDATE
3341991,3249,2029.0,5,UPDATE
3341996,3089,1928.0,19,UPDATE
3341997,3379,2112.0,14,UPDATE
3342027,5719,3570.0,6,UPDATE
3342050,3179,1984.0,5,UPDATE
3342102,3039,1896.0,38,UPDATE
3342134,4389,2740.0,4,UPDATE
3342141,4309,2693.0,4,UPDATE
3342143,4689,2929.0,18,UPDATE
3342153,5099,3184.0,1,UPDATE
3342297,4719,2949.0,11,UPDATE
3342326,3159,1975.0,24,UPDATE
3342333,3039,1899.0,38,UPDATE
3342365,4379,2733.0,4,UPDATE
3342372,4309,2690.0,4,UPDATE
3342384,5119,3195.0,1,UPDATE
3342565,3049,1904.0,17,UPDATE
3342566,3209,2005.0,5,UPDATE
3342607,4779,2984.0,4,UPDATE
3342632,3159,1973.0,5,UPDATE
3342669,4849,3027.0,5,UPDATE
3342673,4679,2921.0,4,UPDATE
3342675,5199,3250.0,25,UPDATE
3342698,3179,1986.0,5,UPDATE
3342739,4719,2948.0,4,UPDATE
3342757,3419,2137.0,1,UPDATE
3342794,5049,3152.0,1,UPDATE
3342801,4699,2935.0,1,UPDATE
3342813,6069,3789.0,0,UPDATE
3342995,3619,2260.0,1,UPDATE
